form	lemma	POS	morph
༄༅།		PUNCT
		
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
ལ་	ལ་	PART
གསོལ་འདེབས་	གསོལ་འདེབས་	NOUN
སྨོན་ལམ་	སྨོན་ལམ་	NOUN
དུ་	ལ་	PART
བྱ་བ་	བྱ་བ་	VERB
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
འདོད་འཇོ་	འདོད་འཇོ་	OTHER
འི་	གི་	PART
དགའ་སྟོན་	དགའ་སྟོན་	NOUN
བཞུགས་	བཞུགས་	VERB
།		PUNCT
སེམས་	སེམས་	NOUN
ཀྱི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
གཉུག་	གཉུག་	NO_POS
མ་	མ་	PART
འི་	གི་	PART
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
དབྱིངས་	དབྱིངས་	NOUN
།		PUNCT
		
།		PUNCT
འདུ་	འདུ་	VERB
འབྲལ་	འབྲལ་	NO_POS
མ་	མ་	PART
དམིགས་	དམིགས་	VERB
པདྨ་	པདྨ་	NOUN
ཐོད་ཕྲེང་	ཐོད་ཕྲེང་	NO_POS
དང་	དང་	NO_POS
།		PUNCT
		
།		PUNCT
དབྱེ་	དབྱེ་	VERB
ར་	ལ་	PART
མེད་	མེད་	VERB
ཁྱབ་བདག་	ཁྱབ་བདག་	OTHER
དཔལ་ལྡན་	དཔལ་ལྡན་	ADJ
བླ་མ་	བླ་མ་	NOUN
ལ་	ལ་	PART
།		PUNCT
		
།		PUNCT
སྙིང་	སྙིང་	NOUN
ན་	ནས་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
སོ་	གོ་	PART
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
རློབས་	རློབས་	VERB
།		PUNCT
		
།		PUNCT
གང་	གང་	NO_POS
སྐུ་	སྐུ་	NOUN
མཐོང་བ་	མཐོང་བ་	VERB
ས་	གིས་	PART
ཐ་མལ་	ཐ་མལ་	ADJ
འཁྲུལ་སྣང་	འཁྲུལ་སྣང་	OTHER
འགག་	འགག་	VERB
ས་	གིས་	PART
།		PUNCT
		
།		PUNCT
གསུང་	གསུང་	VERB
གསང་	གསང་	VERB
ཐོས་པ་	ཐོས་པ་	VERB
ས་	གིས་	PART
བདེ་ཆེན་	བདེ་ཆེན་	NOUN
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
སྐྱེད་	སྐྱེད་	VERB
།		PUNCT
		
།		PUNCT
དྲན་པ་	དྲན་པ་	VERB
ཡི་	གིས་	PART
ཀྱང་	ཀྱང་	PART
སྲིད་ཞི་	སྲིད་ཞི་	NOUN
འི་	གི་	PART
འཇིགས་	འཇིགས་	VERB
འཕྲོག་པ་	འཕྲོག་པ་	VERB
འི་	གི་	PART
།		PUNCT
		
།		PUNCT
ཕ་	ཕ་	NOUN
གཅིག་	གཅིག་	NUM
བླ་མ་	བླ་མ་	NOUN
འབོད་	འབོད་	VERB
དོ་	གོ་	PART
བརྩེ་བ་	བརྩེ་བ་	VERB
ས་	གིས་	PART
དགོངས་	དགོངས་	VERB
།		PUNCT
		
།		PUNCT
བདག་	བདག་	PRON
དང་	དང་	NO_POS
བདག་	བདག་	PRON
འདྲ་	འདྲ་	VERB
འི་	གི་	PART
མགོན་མེད་	མགོན་མེད་	NOUN
ཉམ་ཐག་	ཉམ་ཐག་	NOUN
འགྲོ་	འགྲོ་	VERB
།		PUNCT
		
།		PUNCT
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
འཁོར་བ་	འཁོར་བ་	NOUN
འི་	གི་	PART
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
ར་	ལ་	PART
བྱིང་བ་	བྱིང་བ་	VERB
ལ་	ལ་	PART
།		PUNCT
		
།		PUNCT
མགོན་པོ་	མགོན་པོ་	NOUN
ཁྱོད་	ཁྱོད་	PRON
ལ་	ལ་	ADP
ས་	གིས་	PART
སྐྱབས་	སྐྱབས་	NOUN
གཞན་མ་	གཞན་མ་	PRON
མཆིས་པ་	མཆིས་པ་	VERB
ས་	གིས་	PART
།		PUNCT
		
།		PUNCT
རྣམ་དག་	རྣམ་དག་	ADJ
སྨོན་པ་	སྨོན་པ་	VERB
འི་	གི་	PART
གནས་	གནས་	NOUN
འདི་	འདི་	DET
མྱུར་	མྱུར་	VERB
འགྲུབ་	འགྲུབ་	VERB
མཛོད་	མཛོད་	NOUN
།		PUNCT
		
།		PUNCT
གནས་སྐབས་	གནས་སྐབས་	NOUN
ནད་གདོན་	ནད་གདོན་	OTHER
འབྱུང་པོ་	འབྱུང་པོ་	NOUN
འི་	གི་	PART
འཚེ་བ་	འཚེ་བ་	VERB
སོགས་	སོགས་	DET
།		PUNCT
		
།		PUNCT
དམ་ཆོས་	དམ་ཆོས་	NOUN
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
འི་	གི་	PART
འགལ་རྐྱེན་	འགལ་རྐྱེན་	NOUN
ཀུན་	ཀུན་	DET
ཞི་	ཞི་	VERB
ཞིང་	ཅིང་	PART
།		PUNCT
		
།		PUNCT
ཚེ་བསོད་	ཚེ་བསོད་	NO_POS
དཔལ་འབྱོར་	དཔལ་འབྱོར་	OTHER
ལུང་རྟོགས་	ལུང་རྟོགས་	PROPN
ཡོན་ཏན་	ཡོན་ཏན་	NOUN
སོགས་	སོགས་	DET
།		PUNCT
		
།		PUNCT
མཐུན་	མཐུན་	VERB
རྐྱེན་	རྐྱེན་	NOUN
ལེགས་ཚོགས་	ལེགས་ཚོགས་	OTHER
རྒྱས་པ་	རྒྱས་པ་	VERB
ར་	ལ་	PART
མཛད་	མཛད་	VERB
དུ་	ལ་	PART
གསོལ་	གསོལ་	VERB
།		PUNCT
		
།		PUNCT
མཐར་ཐུག་	མཐར་ཐུག་	NOUN
ངེས་འབྱུང་	ངེས་འབྱུང་	NOUN
བྱང་སེམས་	བྱང་སེམས་	NOUN
གཏིང་	གཏིང་	NOUN
ན་	ནས་	PART
འབྱོངས་	འབྱོངས་	NO_POS
།		PUNCT
		
།		PUNCT
སྣང་གྲག་	སྣང་གྲག་	PROPN
རིག་	རིག་	VERB
གསུམ་	གསུམ་	NUM
ལྷ་	ལྷ་	NOUN
སྔགས་	སྔགས་	NOUN
ཆོས་སྐུ་	ཆོས་སྐུ་	NOUN
ར་	ལ་	PART
ཤ་	ཤ་	VERB
།		PUNCT
		
།		PUNCT
ཀ་དག་	ཀ་དག་	OTHER
ལྷུན་གྲུབ་	ལྷུན་གྲུབ་	OTHER
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
གསེང་ལམ་	གསེང་ལམ་	OTHER
ན་	ནས་	PART
།		PUNCT
		
།		PUNCT
མཆོག་	མཆོག་	ADJ
གི་	གི་	PART
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
བརྙེས་པ་	བརྙེས་པ་	VERB
ར་	ལ་	PART
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
རློབས་	རློབས་	VERB
།		PUNCT
		
།		PUNCT
